RemoteIP,DeviceName,ActionType,AccountName,total_connections
REDACTED IP,windows-target-1,LogonFailed,administrator,7
REDACTED IP,windows-target-1,LogonFailed,administrator,4
REDACTED IP,windows-target-1,LogonFailed,administrator,1
REDACTED IP,windows-target-1,LogonFailed,administrator,2
REDACTED IP,windows-target-1,LogonFailed,malkov,1
REDACTED IP,windows-target-1,LogonFailed,sys,1
REDACTED IP,windows-target-1,LogonFailed,man,1
REDACTED IP,windows-target-1,LogonFailed,administrator,2
REDACTED IP,windows-target-1,LogonFailed,dsnvsuser,1
REDACTED IP,windows-target-1,LogonFailed,administrator,4
REDACTED IP,windows-target-1,LogonFailed,administrator,2
REDACTED IP,windows-target-1,LogonFailed,administrator,3
REDACTED IP,windows-target-1,LogonFailed,administrator,6
REDACTED IP,windows-target-1,LogonFailed,administrator,1
REDACTED IP,windows-target-1,LogonFailed,administrator,9
REDACTED IP,windows-target-1,LogonFailed,administrator,1
REDACTED IP,windows-target-1,LogonFailed,administrator,1
REDACTED IP,windows-target-1,LogonFailed,administrator,1
REDACTED IP,windows-target-1,LogonFailed,administrator,2
REDACTED IP,windows-target-1,LogonFailed,administrator,1
REDACTED IP,windows-target-1,LogonFailed,administrator,13
REDACTED IP,windows-target-1,LogonFailed,administrator,1
REDACTED IP,windows-target-1,LogonFailed,administrator,1
REDACTED IP,windows-target-1,LogonFailed,administrator,1
REDACTED IP,windows-target-1,LogonFailed,administrator,1
REDACTED IP,windows-target-1,LogonFailed,administrator,4
REDACTED IP,windows-target-1,LogonFailed,max,1
REDACTED IP,windows-target-1,LogonFailed,operator9,1
REDACTED IP,windows-target-1,LogonFailed,scanner,1
REDACTED IP,windows-target-1,LogonFailed,opt,1
REDACTED IP,windows-target-1,LogonFailed,angel,1
REDACTED IP,windows-target-1,LogonFailed,scannedjser,1
REDACTED IP,windows-target-1,LogonFailed,harlow,1
REDACTED IP,windows-target-1,LogonFailed,tgadmin,1
REDACTED IP,windows-target-1,LogonFailed,petrova,1
REDACTED IP,windows-target-1,LogonFailed,administrator,6
REDACTED IP,windows-target-1,LogonFailed,mosebachll,1
REDACTED IP,windows-target-1,LogonFailed,csatech,1
REDACTED IP,windows-target-1,LogonFailed,administrator,19
REDACTED IP,windows-target-1,LogonFailed,soeadmin,1
REDACTED IP,windows-target-1,LogonFailed,ateam,1
REDACTED IP,windows-target-1,LogonFailed,xp,1
REDACTED IP,windows-target-1,LogonFailed,tmt,1
REDACTED IP,windows-target-1,LogonFailed,lq,1
REDACTED IP,windows-target-1,LogonFailed,martin,1
REDACTED IP,windows-target-1,LogonFailed,user,12
REDACTED IP,windows-target-1,LogonFailed,cogusef,1
REDACTED IP,windows-target-1,LogonFailed,user2,1
REDACTED IP,windows-target-1,LogonFailed,rubens,1
REDACTED IP,windows-target-1,LogonFailed,administrator,1
REDACTED IP,windows-target-1,LogonFailed,admin,5
REDACTED IP,windows-target-1,LogonFailed,cdcadminaws,1
REDACTED IP,windows-target-1,LogonFailed,rsisail,1
REDACTED IP,windows-target-1,LogonFailed,caja2,1
REDACTED IP,windows-target-1,LogonFailed,userldd,1
REDACTED IP,windows-target-1,LogonFailed,demo,4
REDACTED IP,windows-target-1,LogonFailed,mshafique,1
REDACTED IP,windows-target-1,LogonFailed,anichober,1
REDACTED IP,windows-target-1,LogonFailed,micciocpa,1
REDACTED IP,windows-target-1,LogonFailed,dispatcheruser,1
REDACTED IP,windows-target-1,LogonFailed,twisted,1
REDACTED IP,windows-target-1,LogonFailed,cmarcelino,1
REDACTED IP,windows-target-1,LogonFailed,jasper,1
REDACTED IP,windows-target-1,LogonFailed,judi,1
REDACTED IP,windows-target-1,LogonFailed,wari,1
REDACTED IP,windows-target-1,LogonFailed,aaladmin,1
REDACTED IP,windows-target-1,LogonFailed,admin,1
REDACTED IP,windows-target-1,LogonFailed,pseseafoods,1
REDACTED IP,windows-target-1,LogonFailed,escaneoiafa,1
REDACTED IP,windows-target-1,LogonFailed,samira,1
REDACTED IP,windows-target-1,LogonFailed,administrator,1
REDACTED IP,windows-target-1,LogonFailed,hp,13
REDACTED IP,windows-target-1,LogonFailed,sockwell,1
REDACTED IP,windows-target-1,LogonFailed,harv,1
REDACTED IP,windows-target-1,LogonFailed,asp.iis,1
REDACTED IP,windows-target-1,LogonFailed,vsnvr,1
REDACTED IP,windows-target-1,LogonFailed,administrator,2
REDACTED IP,windows-target-1,LogonFailed,cbox,1
REDACTED IP,windows-target-1,LogonFailed,administrator,3
REDACTED IP,windows-target-1,LogonFailed,dbkfadmin,1
REDACTED IP,windows-target-1,LogonFailed,administrator,3
REDACTED IP,windows-target-1,LogonFailed,ctac,1
REDACTED IP,windows-target-1,LogonFailed,barry,1
REDACTED IP,windows-target-1,LogonFailed,sukien3,1
REDACTED IP,windows-target-1,LogonFailed,mtcwnsend,1
REDACTED IP,windows-target-1,LogonFailed,orangeaed,1
REDACTED IP,windows-target-1,LogonFailed,rduser,1
REDACTED IP,windows-target-1,LogonFailed,jdm,1
REDACTED IP,windows-target-1,LogonFailed,tvu,1
REDACTED IP,windows-target-1,LogonFailed,amps,1
REDACTED IP,windows-target-1,LogonFailed,qentelli,1
REDACTED IP,windows-target-1,LogonFailed,pc,13
REDACTED IP,windows-target-1,LogonFailed,ep,1
REDACTED IP,windows-target-1,LogonFailed,sanchez,1
REDACTED IP,windows-target-1,LogonFailed,moustafa,1
REDACTED IP,windows-target-1,LogonFailed,bander,1
REDACTED IP,windows-target-1,LogonFailed,flconf,1
REDACTED IP,windows-target-1,LogonFailed,caleb,2
REDACTED IP,windows-target-1,LogonFailed,s2,1
REDACTED IP,windows-target-1,LogonFailed,lise,1
REDACTED IP,windows-target-1,LogonFailed,mddx,1
REDACTED IP,windows-target-1,LogonFailed,felgerhansvr,1
REDACTED IP,windows-target-1,LogonFailed,micropool,1
REDACTED IP,windows-target-1,LogonFailed,jaroslaw,1
REDACTED IP,windows-target-1,LogonFailed,administrator,30
REDACTED IP,windows-target-1,LogonFailed,admin,71
REDACTED IP,windows-target-1,LogonFailed,vpsadm,1
REDACTED IP,windows-target-1,LogonFailed,target,1
REDACTED IP,windows-target-1,LogonFailed,crm,1
REDACTED IP,windows-target-1,LogonFailed,administrator,4
REDACTED IP,windows-target-1,LogonFailed,user,4
REDACTED IP,windows-target-1,LogonFailed,makis,1
REDACTED IP,windows-target-1,LogonFailed,user,1
REDACTED IP,windows-target-1,LogonFailed,bestjeannot,1
REDACTED IP,windows-target-1,LogonFailed,administrator,4
REDACTED IP,windows-target-1,LogonFailed,admin,4
REDACTED IP,windows-target-1,LogonFailed,axum,1
REDACTED IP,windows-target-1,LogonFailed,statistik-login,1
REDACTED IP,windows-target-1,LogonFailed,administrator,1
REDACTED IP,windows-target-1,LogonFailed,admin,5
REDACTED IP,windows-target-1,LogonFailed,alvaro,1
REDACTED IP,windows-target-1,LogonFailed,guest,4
REDACTED IP,windows-target-1,LogonFailed,administrator,3
REDACTED IP,windows-target-1,LogonFailed,mild,1
REDACTED IP,windows-target-1,LogonFailed,test,1
REDACTED IP,windows-target-1,LogonFailed,mentes,1
REDACTED IP,windows-target-1,LogonFailed,administrator,6
REDACTED IP,windows-target-1,LogonFailed,direkte,1
REDACTED IP,windows-target-1,LogonFailed,administrator,4
REDACTED IP,windows-target-1,LogonFailed,rwintie,1
REDACTED IP,windows-target-1,LogonFailed,team,1
REDACTED IP,windows-target-1,LogonFailed,in:j,1
REDACTED IP,windows-target-1,LogonFailed,administrator,19
REDACTED IP,windows-target-1,LogonFailed,quest,66
REDACTED IP,windows-target-1,LogonFailed,comercial,1
REDACTED IP,windows-target-1,LogonFailed,administrator,13
REDACTED IP,windows-target-1,LogonFailed,administrator,4
REDACTED IP,windows-target-1,LogonFailed,administrator,13
REDACTED IP,windows-target-1,LogonFailed,escaner,1
REDACTED IP,windows-target-1,LogonFailed,administrator,7
REDACTED IP,windows-target-1,LogonFailed,admin,11
REDACTED IP,windows-target-1,LogonFailed,administrator,2
REDACTED IP,windows-target-1,LogonFailed,administrator,4
REDACTED IP,windows-target-1,LogonFailed,administrator,1
REDACTED IP,windows-target-1,LogonFailed,administrator,2
REDACTED IP,windows-target-1,LogonFailed,administrator,4
REDACTED IP,windows-target-1,LogonFailed,administrator,5
REDACTED IP,windows-target-1,LogonFailed,administrator,1
REDACTED IP,windows-target-1,LogonFailed,administrator,4
REDACTED IP,windows-target-1,LogonFailed,administrator,1
REDACTED IP,windows-target-1,LogonFailed,administrator,5
REDACTED IP,windows-target-1,LogonFailed,administrator,7
REDACTED IP,windows-target-1,LogonFailed,administrator,2
REDACTED IP,windows-target-1,LogonFailed,y枚netici,9
REDACTED IP,windows-target-1,LogonFailed,administrator,5
REDACTED IP,windows-target-1,LogonFailed,administrator,5
REDACTED IP,windows-target-1,LogonFailed,administrator,1
REDACTED IP,windows-target-1,LogonFailed,mreza,1
REDACTED IP,windows-target-1,LogonFailed,rrhh,1
REDACTED IP,windows-target-1,LogonFailed,guo,1
REDACTED IP,windows-target-1,LogonFailed,administrator,12
REDACTED IP,windows-target-1,LogonFailed,eliane,1
REDACTED IP,windows-target-1,LogonFailed,janis,1
REDACTED IP,windows-target-1,LogonFailed,ptctraininguser,1
REDACTED IP,windows-target-1,LogonFailed,administrator,3
REDACTED IP,windows-target-1,LogonFailed,shed,1
REDACTED IP,windows-target-1,LogonFailed,anjali,1
REDACTED IP,windows-target-1,LogonFailed,hscap,1
REDACTED IP,windows-target-1,LogonFailed,memory,1
REDACTED IP,windows-target-1,LogonFailed,acs-user,1
REDACTED IP,windows-target-1,LogonFailed,einstellpult,1
REDACTED IP,windows-target-1,LogonFailed,virtual,1
REDACTED IP,windows-target-1,LogonFailed,kadr,1
REDACTED IP,windows-target-1,LogonFailed,test,1
REDACTED IP,windows-target-1,LogonFailed,sas,1
REDACTED IP,windows-target-1,LogonFailed,shannon,1
REDACTED IP,windows-target-1,LogonFailed,natalie,1
REDACTED IP,windows-target-1,LogonFailed,sekretariat,1
REDACTED IP,windows-target-1,LogonFailed,maya,1
REDACTED IP,windows-target-1,LogonFailed,strekon,1
REDACTED IP,windows-target-1,LogonFailed,administrator,7
REDACTED IP,windows-target-1,LogonFailed,servis,1
REDACTED IP,windows-target-1,LogonFailed,rsa,1
REDACTED IP,windows-target-1,LogonFailed,printer1,1
REDACTED IP,windows-target-1,LogonFailed,ashuri,1
REDACTED IP,windows-target-1,LogonFailed,scheduler,1
REDACTED IP,windows-target-1,LogonFailed,wilson,1
REDACTED IP,windows-target-1,LogonFailed,sofi,1
REDACTED IP,windows-target-1,LogonFailed,stage,1
REDACTED IP,windows-target-1,LogonFailed,asp.iiss,1
REDACTED IP,windows-target-1,LogonFailed,debbie,1
REDACTED IP,windows-target-1,LogonFailed,administrador,1
REDACTED IP,windows-target-1,LogonFailed,succ,1
REDACTED IP,windows-target-1,LogonFailed,prezentacja,1
REDACTED IP,windows-target-1,LogonFailed,blechova,1
REDACTED IP,windows-target-1,LogonFailed,aurelie,1
REDACTED IP,windows-target-1,LogonFailed,carmen,1
REDACTED IP,windows-target-1,LogonFailed,mindy.quinn,1
REDACTED IP,windows-target-1,LogonFailed,consuelo,1
REDACTED IP,windows-target-1,LogonFailed,sky,1
REDACTED IP,windows-target-1,LogonFailed,nufuz,1
REDACTED IP,windows-target-1,LogonFailed,ccih,1
REDACTED IP,windows-target-1,LogonFailed,fwiplayer,1
REDACTED IP,windows-target-1,LogonFailed,ivano,1
REDACTED IP,windows-target-1,LogonFailed,paris,1
REDACTED IP,windows-target-1,LogonFailed,acsuser,1
REDACTED IP,windows-target-1,LogonFailed,planalto,1
REDACTED IP,windows-target-1,LogonFailed,gopal,1
REDACTED IP,windows-target-1,LogonFailed,koc3,1
REDACTED IP,windows-target-1,LogonFailed,john,1
REDACTED IP,windows-target-1,LogonFailed,gast,1
REDACTED IP,windows-target-1,LogonFailed,glisten-led.com,1
REDACTED IP,windows-target-1,LogonFailed,layer7,1
REDACTED IP,windows-target-1,LogonFailed,vpn_user,1
REDACTED IP,windows-target-1,LogonFailed,balie1,1
REDACTED IP,windows-target-1,LogonFailed,muthu,1
REDACTED IP,windows-target-1,LogonFailed,haven,1
REDACTED IP,windows-target-1,LogonFailed,ferdinand,1
REDACTED IP,windows-target-1,LogonFailed,ty,1
REDACTED IP,windows-target-1,LogonFailed,scans,1
REDACTED IP,windows-target-1,LogonFailed,share_test,1
REDACTED IP,windows-target-1,LogonFailed,topgun,1
REDACTED IP,windows-target-1,LogonFailed,administrator,1
REDACTED IP,windows-target-1,LogonFailed,ims.winteladmin,1
REDACTED IP,windows-target-1,LogonFailed,cindy,1
REDACTED IP,windows-target-1,LogonFailed,admin1,1
REDACTED IP,windows-target-1,LogonFailed,garantia,1
REDACTED IP,windows-target-1,LogonFailed,administrator,24
REDACTED IP,windows-target-1,LogonFailed,administrator,2
REDACTED IP,windows-target-1,LogonFailed,administrator,4
REDACTED IP,windows-target-1,LogonFailed,admin,1
REDACTED IP,windows-target-1,LogonFailed,mx,1
REDACTED IP,windows-target-1,LogonFailed,vmadmin,3
REDACTED IP,windows-target-1,LogonFailed,demouser,2
REDACTED IP,windows-target-1,LogonFailed,administrator,2
REDACTED IP,windows-target-1,LogonFailed,raich,1
REDACTED IP,windows-target-1,LogonFailed,administratör,1
REDACTED IP,windows-target-1,LogonFailed,azureuser,3
REDACTED IP,windows-target-1,LogonFailed,administrator,2
REDACTED IP,windows-target-1,LogonFailed,manager,1
REDACTED IP,windows-target-1,LogonFailed,demoadmin,2
REDACTED IP,windows-target-1,LogonFailed,demo,2
REDACTED IP,windows-target-1,LogonFailed,administrator,2
REDACTED IP,windows-target-1,LogonFailed,administrator,1
REDACTED IP,windows-target-1,LogonFailed,vm,2
REDACTED IP,windows-target-1,LogonFailed,administrator,2
REDACTED IP,windows-target-1,LogonFailed,administrator,1
REDACTED IP,windows-target-1,LogonFailed,vm1,2
REDACTED IP,windows-target-1,LogonFailed,administrator,3
REDACTED IP,windows-target-1,LogonFailed,zinkovskaya_v,1
REDACTED IP,windows-target-1,LogonFailed,vm2,3
REDACTED IP,windows-target-1,LogonFailed,administrator,3
REDACTED IP,windows-target-1,LogonFailed,user,4
REDACTED IP,windows-target-1,LogonFailed,administrator,3
REDACTED IP,windows-target-1,LogonFailed,sqlserver,4
REDACTED IP,windows-target-1,LogonFailed,iacaixal,1
REDACTED IP,windows-target-1,LogonFailed,sql,1
REDACTED IP,windows-target-1,LogonFailed,administrator,8
REDACTED IP,windows-target-1,LogonFailed,administrator,14
REDACTED IP,windows-target-1,LogonFailed,oakley,1
REDACTED IP,windows-target-1,LogonFailed,administrator,1
REDACTED IP,windows-target-1,LogonFailed,martinez,1
REDACTED IP,windows-target-1,LogonFailed,ftp,1
REDACTED IP,windows-target-1,LogonFailed,proj,1
REDACTED IP,windows-target-1,LogonFailed,darcy,1
REDACTED IP,windows-target-1,LogonFailed,server,1
REDACTED IP,windows-target-1,LogonFailed,administrator,4
REDACTED IP,windows-target-1,LogonFailed,hp,1
REDACTED IP,windows-target-1,LogonFailed,scan,1
REDACTED IP,windows-target-1,LogonFailed,administrator,6
REDACTED IP,windows-target-1,LogonFailed,user1,2
REDACTED IP,windows-target-1,LogonFailed,lennox,1
REDACTED IP,windows-target-1,LogonFailed,indigo,1
REDACTED IP,windows-target-1,LogonFailed,admin1,1
REDACTED IP,windows-target-1,LogonFailed,vendas,1
REDACTED IP,windows-target-1,LogonFailed,apple,1
REDACTED IP,windows-target-1,LogonFailed,marley,2
REDACTED IP,windows-target-1,LogonFailed,marley,1
REDACTED IP,windows-target-1,LogonFailed,kit,1
REDACTED IP,windows-target-1,LogonFailed,testftp,1
REDACTED IP,windows-target-1,LogonFailed,administrator,2
REDACTED IP,windows-target-1,LogonFailed,adm,1
REDACTED IP,windows-target-1,LogonFailed,admin,1
REDACTED IP,windows-target-1,LogonFailed,spicenpls,1
REDACTED IP,windows-target-1,LogonFailed,systadmin,2
REDACTED IP,windows-target-1,LogonFailed,store,1
REDACTED IP,windows-target-1,LogonFailed,carol,1
REDACTED IP,windows-target-1,LogonFailed,sysadmin,1
REDACTED IP,windows-target-1,LogonFailed,username,2
REDACTED IP,windows-target-1,LogonFailed,aspen,1
REDACTED IP,windows-target-1,LogonFailed,login,1
REDACTED IP,windows-target-1,LogonFailed,hostlab,1
REDACTED IP,windows-target-1,LogonFailed,birmingham,1
REDACTED IP,windows-target-1,LogonFailed,francesca,1
REDACTED IP,windows-target-1,LogonFailed,daniela,1
REDACTED IP,windows-target-1,LogonFailed,administrator,50
REDACTED IP,windows-target-1,LogonFailed,administrator,4
REDACTED IP,windows-target-1,LogonFailed,administrator,2
REDACTED IP,windows-target-1,LogonFailed,pc,1
REDACTED IP,windows-target-1,LogonFailed,user,2
REDACTED IP,windows-target-1,LogonFailed,administrator,3
REDACTED IP,windows-target-1,LogonFailed,administrator,4
REDACTED IP,windows-target-1,LogonFailed,administrator,1
REDACTED IP,windows-target-1,LogonFailed,admin1,2
REDACTED IP,windows-target-1,LogonFailed,user1,1
REDACTED IP,windows-target-1,LogonFailed,user1,2
REDACTED IP,windows-target-1,LogonFailed,adm,1
REDACTED IP,windows-target-1,LogonFailed,test1,1
REDACTED IP,windows-target-1,LogonFailed,antonio,1
REDACTED IP,windows-target-1,LogonFailed,administrator,8
REDACTED IP,windows-target-1,LogonFailed,accounting,2
REDACTED IP,windows-target-1,LogonFailed,windowsuser,1
REDACTED IP,windows-target-1,LogonFailed,administrator,2
REDACTED IP,windows-target-1,LogonFailed,charlie,2
REDACTED IP,windows-target-1,LogonFailed,joel,1
REDACTED IP,windows-target-1,LogonFailed,123,1
REDACTED IP,windows-target-1,LogonFailed,account,1
