TimeGenerated [UTC],DeviceName,ActionType,AccountName,RemoteIP,login_count
"4/2/2025, 3:38:50.131 AM",windows-target-1,LogonFailed,mild,REDACTED IP,1
"4/2/2025, 3:38:52.285 AM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"4/2/2025, 3:38:53.988 AM",windows-target-1,LogonFailed,admin,REDACTED IP,1
"4/2/2025, 3:38:54.788 AM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"4/2/2025, 3:39:04.370 AM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"4/2/2025, 3:39:04.936 AM",windows-target-1,LogonFailed,admin,REDACTED IP,1
"4/2/2025, 3:39:06.888 AM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"4/2/2025, 3:39:08.881 AM",windows-target-1,LogonFailed,test,REDACTED IP,1
"4/2/2025, 3:43:10.331 AM",windows-target-1,LogonFailed,mentes,REDACTED IP,1
"4/2/2025, 3:43:11.580 AM",windows-target-1,LogonFailed,admin,REDACTED IP,1
"4/2/2025, 3:43:17.437 AM",windows-target-1,LogonFailed,admin,REDACTED IP,1
"4/2/2025, 3:43:19.250 AM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"4/2/2025, 3:43:22.779 AM",windows-target-1,LogonFailed,admin,REDACTED IP,1
"4/2/2025, 3:43:27.785 AM",windows-target-1,LogonFailed,admin,REDACTED IP,1
"4/2/2025, 3:43:30.513 AM",windows-target-1,LogonFailed,direkte,REDACTED IP,1
"4/2/2025, 3:43:31.893 AM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"4/2/2025, 3:43:42.316 AM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"4/2/2025, 3:43:44.687 AM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"4/2/2025, 3:43:46.469 AM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"4/2/2025, 3:43:46.854 AM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"4/2/2025, 3:43:48.604 AM",windows-target-1,LogonFailed,rwintie,REDACTED IP,1
"4/2/2025, 3:43:49.246 AM",windows-target-1,LogonFailed,admin,REDACTED IP,1
"4/2/2025, 3:43:50.534 AM",windows-target-1,LogonFailed,team,REDACTED IP,1
"4/2/2025, 3:43:52.636 AM",windows-target-1,LogonFailed,admin,REDACTED IP,1
"4/2/2025, 3:43:54.679 AM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"4/2/2025, 3:43:56.061 AM",windows-target-1,LogonFailed,admin,REDACTED IP,1
"4/2/2025, 3:43:59.060 AM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"4/2/2025, 3:44:00.223 AM",windows-target-1,LogonFailed,admin,REDACTED IP,1
"4/2/2025, 3:44:01.574 AM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"4/2/2025, 3:44:01.841 AM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"4/2/2025, 3:44:08.125 AM",windows-target-1,LogonFailed,admin,REDACTED IP,1
"4/2/2025, 3:44:09.882 AM",windows-target-1,LogonFailed,in:j,REDACTED IP,1
"4/2/2025, 3:44:14.955 AM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"4/2/2025, 3:44:16.586 AM",windows-target-1,LogonFailed,admin,REDACTED IP,1
"3/29/2025, 3:32:49.122 AM",windows-target-1,LogonFailed,debora,REDACTED IP,1
"3/29/2025, 3:32:51.246 AM",windows-target-1,LogonFailed,babylone3,REDACTED IP,1
"3/29/2025, 3:32:54.070 AM",windows-target-1,LogonFailed,admin,REDACTED IP,1
"3/29/2025, 3:33:00.574 AM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
